frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1662122120270868992.png,0.198714,0.969615,3.754785,0.859287,0.746047,0.885934,0.915340
1662122120315869952.png,0.183976,1.001340,3.878991,0.879969,0.778421,0.881754,0.912187
1662122120360870912.png,0.185307,1.014112,3.871473,0.900303,0.785823,0.883645,0.910678
1662122120405871872.png,0.190172,1.088720,4.042381,0.894268,0.743337,0.876250,0.903175
1662122120450872832.png,0.209056,1.168654,4.182421,0.942394,0.700453,0.879898,0.897830
1662122120486873600.png,0.210157,1.180564,4.208648,0.932307,0.756003,0.875452,0.895976
1662122120525874432.png,0.215045,1.215839,4.234082,0.946170,0.752283,0.860266,0.890275
1662122120567875328.png,0.222518,1.249753,4.314582,0.971824,0.727179,0.860165,0.894216
1662122120609876224.png,0.233843,1.352051,4.495842,1.025941,0.699073,0.846816,0.881720
1662122120648877056.png,0.230360,1.430622,4.651251,1.054849,0.706388,0.827210,0.881978
1662122120690877952.png,0.238851,1.495527,4.747303,1.038173,0.684728,0.817313,0.869671
1662122120732878848.png,0.232341,1.527417,4.820843,1.047279,0.685741,0.834101,0.870816
1662122120777879808.png,0.238623,1.522800,4.802986,1.037764,0.633179,0.815701,0.874803
1662122120819880704.png,0.220424,1.564544,4.875433,1.068597,0.751930,0.826690,0.863918
1662122120858881536.png,0.235926,1.660971,5.001246,1.064675,0.654402,0.832069,0.857811
1662122120903882496.png,0.229401,1.630967,4.987194,1.050063,0.652508,0.838232,0.861839
1662122120948883456.png,0.218509,1.656052,5.053895,1.065941,0.742695,0.836849,0.855884
1662122120987884288.png,0.217553,1.617249,4.977797,1.063254,0.707700,0.846893,0.862244
1662122121023885056.png,0.226935,1.698787,5.102049,1.096082,0.742216,0.837355,0.852767
1662122121068886016.png,0.234178,1.714356,5.103827,1.081219,0.668071,0.834675,0.849652
1662122121110886912.png,0.261106,1.871342,5.289134,1.086110,0.588007,0.790709,0.834897
1662122121152887808.png,0.266099,1.957151,5.408692,1.097079,0.615452,0.792680,0.822125
1662122121194888704.png,0.264545,1.954046,5.403056,1.085181,0.643353,0.775250,0.821044
1662122121239889664.png,0.248461,1.882602,5.309373,1.098144,0.707043,0.808462,0.825003
1662122121281890560.png,0.246555,1.788973,5.194923,0.988935,0.609025,0.801317,0.833486
1662122121320891392.png,0.241178,1.895488,5.373693,1.052908,0.712417,0.805827,0.821616
1662122121365892352.png,0.237806,1.893395,5.327822,1.080513,0.725545,0.799965,0.820941
1662122121407893248.png,0.233212,1.899502,5.346768,1.050894,0.742950,0.798042,0.814632
1662122121449894144.png,0.226134,1.867195,5.330559,1.016447,0.750676,0.800411,0.818235
1662122121491895040.png,0.233284,1.987994,5.477691,1.077009,0.747570,0.790236,0.806132
1662122121536896000.png,0.222746,1.929421,5.435132,1.044628,0.740184,0.795967,0.813913
1662122121581896960.png,0.220930,1.887764,5.354950,1.039932,0.745688,0.798375,0.818633
1662122121626897920.png,0.220638,1.850593,5.334383,0.993847,0.744777,0.802704,0.824520
1662122121668898816.png,0.226174,1.875260,5.381141,0.977140,0.747893,0.805055,0.819363
1662122121710899712.png,0.224989,1.940638,5.463511,1.011150,0.736077,0.794799,0.810321
1662122121752900608.png,0.230587,1.994498,5.527741,1.042389,0.734290,0.789409,0.804817
1662122121797901568.png,0.223376,1.949704,5.484108,0.989448,0.738295,0.787945,0.807142
1662122121836902400.png,0.215789,1.781276,5.240402,0.928526,0.738549,0.803957,0.823070
1662122121878903296.png,0.232297,1.797410,5.235191,0.893353,0.689304,0.793395,0.821474
1662122121923904256.png,0.221311,1.930338,5.467824,0.978580,0.716721,0.785059,0.807694
1662122121968905216.png,0.222374,1.915563,5.458586,0.965960,0.712466,0.780297,0.808862
1662122122007906048.png,0.229589,1.944411,5.532119,0.956965,0.723499,0.771722,0.810456
1662122122049906944.png,0.229726,1.967535,5.569882,0.970051,0.721013,0.774890,0.808679
1662122122091907840.png,0.227582,1.934329,5.518730,0.978502,0.726681,0.779458,0.812900
1662122122136908800.png,0.231224,2.042270,5.724301,0.994517,0.724523,0.777384,0.808971
1662122122178909696.png,0.241401,2.154150,5.867494,1.035459,0.698521,0.773204,0.801159
1662122122223910656.png,0.248172,2.203919,5.965630,1.036984,0.705183,0.771155,0.799986
1662122122265911552.png,0.253600,2.310422,6.111931,1.070017,0.682782,0.754853,0.790979
1662122122307912448.png,0.252942,2.352315,6.189331,1.094630,0.690088,0.759888,0.789337
1662122122349913344.png,0.246885,2.325830,6.145679,1.090537,0.689934,0.759796,0.789594
1662122122394914304.png,0.251467,2.327520,6.179639,1.080449,0.705010,0.766658,0.795612
1662122122436915200.png,0.254932,2.474751,6.361306,1.127910,0.693490,0.749057,0.785163
1662122122481916160.png,0.259308,2.500259,6.423892,1.129939,0.686257,0.750506,0.786855
1662122122520916992.png,0.258346,2.445967,6.369787,1.128375,0.702518,0.761975,0.799849
1662122122568918016.png,0.266933,2.483789,6.415697,1.131079,0.696140,0.757916,0.794629
1662122122616919040.png,0.271513,2.584846,6.538007,1.149625,0.676210,0.746693,0.785893
1662122122661920000.png,0.279805,2.672373,6.663002,1.143811,0.671683,0.741358,0.779286
1662122122703920896.png,0.275200,2.677942,6.670739,1.141036,0.685062,0.740202,0.781052
1662122122745921792.png,0.269152,2.727851,6.712706,1.162876,0.679154,0.732150,0.776109
1662122122790922752.png,0.281158,2.825041,6.831808,1.186722,0.667597,0.726812,0.768603
1662122122832923648.png,0.282375,2.733770,6.725592,1.152811,0.674474,0.733344,0.777777
1662122122874924544.png,0.279268,2.907728,6.917962,1.209714,0.658839,0.716505,0.760664
1662122122913925376.png,0.277637,2.946770,6.955750,1.231597,0.660312,0.705721,0.759219
1662122122955926272.png,0.275419,2.922961,6.939249,1.227461,0.660747,0.716942,0.764380
1662122123000927232.png,0.282586,2.996306,7.026670,1.254825,0.657850,0.709214,0.761891
1662122123042928128.png,0.287570,3.084345,7.119180,1.287862,0.639163,0.696852,0.755045
1662122123087929088.png,0.275623,3.036401,7.074307,1.266414,0.655278,0.703906,0.759907
1662122123132930048.png,0.289245,3.097953,7.142756,1.280225,0.654952,0.702360,0.753634
1662122123171930880.png,0.295487,3.067627,7.099435,1.295895,0.652188,0.709760,0.758294
1662122123210931712.png,0.294470,3.101652,7.129911,1.306607,0.647809,0.704636,0.755441
1662122123249932544.png,0.289232,3.152183,7.188935,1.314966,0.644832,0.697071,0.751093
1662122123288933376.png,0.285297,3.232080,7.286518,1.340660,0.650624,0.695684,0.748458
1662122123330934272.png,0.291850,3.214707,7.254767,1.321669,0.648051,0.688437,0.745719
1662122123372935168.png,0.292069,3.326846,7.377898,1.366125,0.639009,0.683403,0.737597
1662122123414936064.png,0.292607,3.323451,7.356565,1.369315,0.641296,0.677702,0.731829
1662122123456936960.png,0.295060,3.330340,7.361557,1.367272,0.641468,0.677158,0.731922
1662122123498937856.png,0.298570,3.363514,7.414921,1.376122,0.646934,0.681498,0.734630
1662122123540938752.png,0.317794,3.388239,7.443437,1.356158,0.647541,0.683222,0.733102
1662122123579939584.png,0.314993,3.346421,7.389122,1.334386,0.645490,0.681470,0.734452
1662122123621940480.png,0.314995,3.345730,7.369880,1.346518,0.641768,0.680660,0.733679
1662122123663941376.png,0.322565,3.248401,7.274961,1.308087,0.642816,0.689424,0.744032
1662122123708942336.png,0.315035,3.278844,7.302638,1.325886,0.641769,0.685693,0.738438
1662122123753943296.png,0.314966,3.400332,7.424403,1.354599,0.634313,0.673838,0.727269
1662122123795944192.png,0.315207,3.444011,7.467065,1.359069,0.634579,0.669577,0.722968
1662122123837945088.png,0.312521,3.410969,7.422515,1.349911,0.634642,0.671681,0.725717
1662122123879945984.png,0.317334,3.418656,7.411908,1.327068,0.629690,0.663700,0.720292
1662122123918946816.png,0.321744,3.405334,7.387740,1.347208,0.624561,0.663262,0.723911
1662122123960947712.png,0.318648,3.508378,7.498469,1.375098,0.620812,0.656364,0.712951
1662122124005948672.png,0.320671,3.468434,7.459809,1.361991,0.622610,0.657611,0.716727
1662122124047949568.png,0.321489,3.436584,7.430633,1.349665,0.625767,0.659422,0.720366
1662122124092950528.png,0.312590,3.545557,7.531626,1.389010,0.617172,0.650231,0.710148
1662122124134951424.png,0.316370,3.486881,7.470383,1.373863,0.621597,0.658875,0.714635
1662122124179952384.png,0.312384,3.577724,7.561913,1.416848,0.617800,0.651217,0.706919
1662122124224953344.png,0.319015,3.629441,7.628349,1.403678,0.618904,0.648605,0.705186
1662122124266954240.png,0.320219,3.553768,7.557592,1.388133,0.622702,0.655442,0.715401
1662122124311955200.png,0.325146,3.641109,7.637716,1.417657,0.619836,0.651191,0.707374
1662122124359956224.png,0.322034,3.701058,7.685856,1.440818,0.612839,0.642596,0.700291
1662122124398957056.png,0.318914,3.552570,7.537848,1.402013,0.628565,0.657631,0.711692
1662122124440957952.png,0.324823,3.593983,7.583875,1.411838,0.624533,0.653579,0.708363
1662122124482958848.png,0.325401,3.671312,7.659751,1.436722,0.615612,0.646080,0.702197
1662122124530959872.png,0.335226,3.685919,7.668417,1.437649,0.613479,0.644135,0.701168
1662122124572960768.png,0.336015,3.770534,7.745754,1.478810,0.609120,0.643085,0.696719
1662122124617961728.png,0.330559,3.709310,7.697208,1.456139,0.615376,0.648712,0.700761
1662122124659962624.png,0.326507,3.556763,7.555326,1.400943,0.624760,0.660250,0.715204
1662122124701963520.png,0.323616,3.652117,7.660542,1.428067,0.623676,0.655605,0.708453
1662122124743964416.png,0.316538,3.729105,7.716216,1.449311,0.616245,0.642638,0.697516
1662122124788965376.png,0.318288,3.750884,7.731094,1.462181,0.614554,0.640334,0.695024
1662122124833966336.png,0.314935,3.703315,7.695427,1.438878,0.617862,0.643980,0.699387
1662122124878967296.png,0.316738,3.770780,7.760681,1.458399,0.616975,0.641332,0.694051
1662122124923968256.png,0.317935,3.707379,7.695979,1.419795,0.614045,0.638842,0.696837
1662122124968969216.png,0.316237,3.653197,7.644091,1.376985,0.610658,0.634811,0.697516
1662122125013970176.png,0.312376,3.530031,7.555750,1.369921,0.626033,0.651865,0.715222
1662122125058971136.png,0.315061,3.569165,7.594455,1.383634,0.626844,0.651969,0.710965
1662122125097971968.png,0.315258,3.578724,7.612794,1.377031,0.627723,0.653168,0.709661
1662122125139972864.png,0.317599,3.627635,7.643285,1.394549,0.620644,0.645000,0.705951
1662122125181973760.png,0.315190,3.678848,7.682740,1.395915,0.613287,0.636480,0.697657
1662122125226974720.png,0.315070,3.628709,7.663120,1.393146,0.621696,0.649767,0.706613
1662122125271975680.png,0.315960,3.713080,7.754395,1.449055,0.625138,0.650475,0.703485
1662122125310976512.png,0.318067,3.735971,7.752009,1.438222,0.616359,0.642815,0.696873
1662122125361977600.png,0.316749,3.819715,7.852819,1.482264,0.615736,0.644229,0.695770
1662122125400978432.png,0.318478,3.839509,7.857787,1.479743,0.610606,0.637584,0.691981
1662122125445979392.png,0.319338,3.824699,7.846851,1.476283,0.612903,0.639505,0.693967
1662122125493980416.png,0.312354,3.704797,7.744191,1.440461,0.628744,0.652635,0.706018
1662122125535981312.png,0.316600,3.800660,7.849283,1.464115,0.618369,0.644639,0.698213
1662122125583982336.png,0.310290,3.727836,7.803071,1.447502,0.623200,0.650853,0.707659
1662122125625983232.png,0.315673,3.765419,7.855348,1.465241,0.622314,0.652871,0.706450
1662122125670984192.png,0.316708,3.716539,7.811336,1.461481,0.629907,0.656382,0.713005
1662122125709985024.png,0.315693,3.727066,7.808651,1.478084,0.628964,0.655113,0.708869
1662122125751985920.png,0.317495,3.744991,7.828500,1.490695,0.626190,0.654393,0.706688
