frame,absrel,sqrel,rmse,rmse_log,delta1,delta2,delta3
1662015313498775552.png,0.774936,6.171857,8.704889,1.570843,0.000017,0.000040,0.000506
1662015313540776448.png,0.785061,6.332627,8.790958,1.599622,0.000022,0.000123,0.000561
1662015313591777536.png,0.768881,6.053821,8.553235,1.505880,0.000044,0.000461,0.000950
1662015313630778368.png,0.770544,6.039362,8.507908,1.507919,0.000110,0.000517,0.000979
1662015313672779264.png,0.778379,6.145133,8.577081,1.534332,0.000022,0.000295,0.000804
1662015313717780224.png,0.798859,6.508856,8.824370,1.632391,0.000070,0.000190,0.000645
1662015313756781056.png,0.792361,6.507985,8.867151,1.599334,0.000242,0.000397,0.000864
1662015313801782016.png,0.810599,6.876152,9.137514,1.692950,0.000000,0.000202,0.000569
1662015313843782912.png,0.812908,6.949508,9.191776,1.703743,0.000005,0.000274,0.000369
1662015313885783808.png,0.810337,6.945276,9.204803,1.688586,0.000000,0.000131,0.000393
1662015313927784704.png,0.811886,7.017874,9.269329,1.696625,0.000000,0.000016,0.000182
1662015313972785664.png,0.819022,7.142395,9.341870,1.738155,0.000000,0.000005,0.000278
1662015314014786560.png,0.817189,7.150413,9.359067,1.726749,0.000000,0.000005,0.000546
1662015314056787456.png,0.817196,7.149045,9.364630,1.727586,0.000000,0.000020,0.000452
1662015314101788416.png,0.823936,7.312135,9.495219,1.761503,0.000000,0.000005,0.000396
1662015314143789312.png,0.834975,7.543581,9.672334,1.827474,0.000000,0.000000,0.000061
1662015314185790208.png,0.838101,7.591311,9.698723,1.849137,0.000000,0.000000,0.000072
1662015314227791104.png,0.834053,7.544880,9.686646,1.824692,0.000000,0.000005,0.000118
1662015314272792064.png,0.836946,7.587099,9.709529,1.842426,0.000000,0.000000,0.000057
1662015314317793024.png,0.839435,7.627552,9.728658,1.856308,0.000000,0.000000,0.000104
1662015314362793984.png,0.843985,7.710018,9.773697,1.888612,0.000000,0.000000,0.000057
1662015314413795072.png,0.836509,7.585687,9.699251,1.844892,0.000000,0.000000,0.000145
1662015314455795968.png,0.838497,7.608214,9.708570,1.859722,0.000000,0.000067,0.000124
1662015314497796864.png,0.836576,7.544581,9.651755,1.842270,0.000000,0.000041,0.000108
1662015314539797760.png,0.835763,7.523571,9.632870,1.838297,0.000000,0.000010,0.000118
1662015314581798656.png,0.831847,7.385097,9.500211,1.816864,0.000000,0.000071,0.000102
1662015314626799616.png,0.832455,7.296928,9.384377,1.815460,0.000076,0.000086,0.000218
1662015314668800512.png,0.834853,7.251407,9.307139,1.835046,0.000025,0.000045,0.000146
